reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
LCF001.R5.D2GR,https://laurentferrier.ch/collections/classic/products/classic-tourbillon-clous-de-paris, ,Laurent Ferrier, ,Classic,Classic Tourbillon,Clous de Paris, , ,CHF,"180,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Classic-Tourbillon-Clous-De-Paris_Watch_LCF001.R5.D2GR_Front-Soldat-Big_800x.png?v=1643291774,Switzerland, , 18K red gold 5N, , , 41 mm, , , 12.50 mm, , , , 30 m - 3 ATM, ,"Palladium with ""Clous de Paris""","Drop-shaped, 18k red gold 5N"," Brown Alligator, Alcantara lining"," Brown Alligator, Alcantara lining",Pin buckle or folding clasp in 18k red gold 5N," . Calibre LF619.01. Tourbillon, opposite double balance spring. Double balance springs “Geneva”. “Swiss” pallet escapement. Balance at variable geometry, with screw. Tourbillon frame carrier in periphery",Calibre LF619.01, 80 hours ,"21,600 vph (3Hz)",23,"Hours, minutes, small seconds at 6 o’clock","The Classic Tourbillon has decisively proven its worth since being presented in 2009, earning enviable distinctions such as in the 2010 Geneva Watchmaking Grand Prix. Inspired by expertise now over 200 years old, this timepiece incorporates an avant-garde technique that ensures exceptional precision. It is equipped with a tourbillon device conceived by Abraham-Louis Breguet in 1801, complemented by two head-to-tail mounted balance-springs in the centre of the balance. 
It features a subtly decorated dial in silvery palladium. The centre is delicately hand-guilloché with a “Clous de Paris” hobnail motif, framed on the outer rim by a circular satin-brushed décor.
", 
LCF036.T1.CG,https://laurentferrier.ch/collections/classic/products/classic-origin-blue, ,Laurent Ferrier, ,Classic,Classic Origin,Blue, , ,CHF,"33,000",https://laurentferrier.ch/cdn/shop/files/Laurent-Ferrier_Classic-Origin-Blue_Watch_LCF036.T.CG_Front-Soldat_FixedTEMP_800x.png?v=1686640182,Switzerland, , Grade 5 titanium , , , 40 mm, , , 11.10 mm , , , , 30 m - 3 ATM, ,Gradient blue opaline dial,"Four drop-shaped, 18k white gold 210Pd Hour markers: Powder grey painted minute track and light blue numerals"," Dark blue Nubuck leather, Alcantara lining"," Dark blue Nubuck leather, Alcantara lining",Pin buckle in grade 5 titanium,. Caliber LF116.01. Manual winding . Swiss lever escapement. Balance screw,Caliber LF116.01, 80 hours ,"21,600 vph (3Hz) ",21,"Hours, minutes, small seconds at 6 o’clock","Twelve years after its launch, LAURENT FERRIER is maintaining its momentum with an intense blue version of one of its latest emblematic models, the Classic Origin. Initially developed to pay tribute to all the aesthetic codes created by Mr Laurent Ferrier himself in 2010, the Classic Origin has succeeded in becoming an icon of the LF collection.
", 
LCF007.T1.V8G,https://laurentferrier.ch/collections/classic/products/classic-traveller-magnetic-green, ,Laurent Ferrier, ,Classic,Classic Traveller,Magnetic Green, , ,CHF,"62,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Classic-Traveller-Magnetic-Green_Serie-Atelier-III_Watch_LCF007.T1.V8G_Front-Soldat_Transparent_WEBSITE-Fixed_800x.png?v=1659508127,Switzerland, , Grade 5 titanium, , , 41 mm , , , 12.64 mm, , , , 30 m - 3 ATM, ,"Magnetic green, sunburst in the centre, circular satin finish at the periphery","Drop-shaped, 18k white gold 210Pd "," Forest green Nubuck leather, Alcantara lining "," Forest green Nubuck leather, Alcantara lining ",Pin buckle in grade 5 titanium ," . Calibre LF230.02 . Self-winding movement . Off-centred micro-rotor in 18k solid gold with pawl-fitted unidirectional winding, fixed between the mainplate and the bridge of the micro-rotor and equipped with a “silent block” shock-absorbing system . Natural escapement with double direct-impulse directly on the balance . Silicon pallet-lever with self-lubricating properties, escape-wheels in a phosphorous nickel alloy, produced according to LIGA technology. Correctors: crown for winding and time-setting and, on the left side of the case, two push-buttons (+) and (-) respectively positioned at 10 and 8 o’clock, to adjust the time hour per hour with automatic date correction.",Calibre LF230.02 , 72 hours,"21,600 vph (3Hz) ",41,". Hours, minutes, small seconds at 6 o’clock . Dual time-zone aperture at 3 o'clock (date), 9 o’clock (home aperture) ","For this opus of its “Série Atelier”, LAURENT FERRIER travels light.
More than an art of living, travel is about returning to the essentials of life. LAURENT FERRIER dedicates this No.3 “Série Atelier” to those who are not willing to sacrifice beauty for the sake of comfort when travelling. This version of the Classic Traveller with dual time zones features a polished titanium case with a gracefully sunburst magnetic-green dial and a forest-green nubuck strap. A central sunburst electrifies the mineral nuances of the dial while creating a multitude of shimmering green reflections.
", 
LCF004.T1.V8G,https://laurentferrier.ch/collections/classic/products/classic-micro-rotor-magnetic-green, ,Laurent Ferrier, ,Classic,Classic Micro-Rotor,Magnetic Green, , ,CHF,"49,500",https://laurentferrier.ch/cdn/shop/files/Laurent-Ferrier_Classic-Micro-Rotor-Magnetic-Green_Serie-Atelier-IV_Watch_LCF004.T1.V8G_Soldat_Front_TinifiedTEMP_800x.png?v=1686639889,Switzerland, , Grade 5 titanium, , , 40 mm , , , 11.10 mm, , , , 30 m - 3 ATM, ,"Magnetic green dial, sunburst in the centre, circular satin finish on the outside","Drop-shaped, 18k white gold 210Pd "," Forest green Nubuck leather, Alcantara lining "," Forest green Nubuck leather, Alcantara lining ",Pin buckle in grade 5 titanium ," . Calibre FBN229.01. Self-winding movement . Off-centred micro-rotor in 18k solid gold with pawl-fitted unidirectional winding, fixed between the mainplate and the bridge of the micro-rotor and equipped with a “silent block” shock-absorbing system . Natural escapement with double direct-impulse directly on the balance . Silicon pallet-lever with self-lubricating properties, escape-wheels in a phosphorous nickel alloy, produced according to LIGA technology",Calibre FBN229.01, 72 hours,"21,600 vph (3Hz) ",35,"Hours, minutes, small seconds at 6 o’clock","Striking vibrant green hues
This addition in the “Série Atelier” collection is indeed a tribute. Firstly a tribute to the previous “Série Atelier” Classic Traveller, but above all a tribute to its community of collectors some of whom have supported it since its creation. LAURENT FERRIER offers a new luxurious interpretation of this distinctive green. The dial is made up of two different finishes, which provides a unique, undulating visual effect as the dial evolves, creating a hypnotic ballet of shadow and light.
", 
LCF013.AC.VG1,https://laurentferrier.ch/collections/square/products/square-micro-rotor-evergreen, ,Laurent Ferrier, ,Square,Square Micro-Rotor,Evergreen, , ,CHF,"55,000",https://laurentferrier.ch/cdn/shop/files/Laurent-Ferrier_Square-Micro-Rotor_Evergreen_Watch_LCF013.AC.VG1_Front-Soldat_noswiss_800x.png?v=1698730722,Switzerland, , Stainless steel , , , 41 mm, , , 11.10 mm, , , , 30 m - 3 ATM, ," Deep green, vertical satin-brush finish","Drop-shaped, 18k white gold 210Pd"," Brown calf leather, Alcantara lining"," Brown calf leather, Alcantara lining",Pin buckle or folding clasp in stainless steel,. Calibre FBN229.01. Automatic winding movement with pawl-fitted micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Silicon escapement with a double direct impulse on the balance. Silent block shock protection system for the micro-rotor,Calibre FBN229.01, 72 hours,"21,600 vph (3Hz)",35,"Hours, minutes & small seconds at 6 o’clock","The term ‘Evergreen’ combines timeless character with the associations of the colour green: a shade deeply connected with nature, growth and renewal. Embodying these principles, the latest interpretations of the Micro-Rotor evoke this enduring elegance. With its aerodynamic curves, symmetry and elaborate lines, the stainless steel cushion-shaped Square case exudes sophistication and provides a more assertive presence on the wrist compared to the Classic model. 
", 
LCF013.AC.RG1,https://laurentferrier.ch/collections/square/products/square-micro-rotor-autumn, ,Laurent Ferrier, ,Square,Square Micro‑Rotor,Autumn, , ,CHF,"55,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Square-Micro-Rotor-Autumn_Watch_LCF013.AC.R1G_Front-Soldat-Big_fc9402e7-8246-4258-9d8e-48b704a3872a_800x.png?v=1667383917,Switzerland, , Stainless steel , , , 41 mm, , , 11.10 mm, , , , 30 m - 3 ATM, ,"Autumn-toned, vertical satin-brushed finish ","Drop-shaped, 18k white gold 210Pd"," Brown alligator leather, Alcantara lining"," Brown alligator leather, Alcantara lining",Pin buckle or folding clasp in stainless steel,. Calibre FBN229.01. Automatic winding movement with pawl-fitted micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Silicon escapement with a double direct impulse on the balance. Silent block shock protection system for the micro-rotor,Calibre FBN229.01, 72 hours,"21,600 vph (3Hz)",35,"Hours, minutes, and small seconds at 6 o'clock","The Square Micro-Rotor, with its stylish design, comes back with an autumn-toned look after the gold-toned sunburst dial. For this version, LAURENT FERRIER treats its Square Micro-Rotor with autumn or red gold colours, with copper glints thanks to the vertical satin-brushed finish. The movement is still the self-winding FBN 229.01 calibre with a natural escapement.
", 
LCF013.AC.CG7,https://laurentferrier.ch/collections/square/products/square-micro-rotor-ice-blue, ,Laurent Ferrier, ,Square,Square Micro‑Rotor,Ice Blue, , ,CHF,"55,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Square-Micro-Rotor-Ice-Blue_Watch_LCF004.AC.CG7_Front-Soldat-Big_800x.png?v=1667485272,Switzerland, , Stainless steel, , , 41 mm, , , 11.10 mm , , , , 30 m - 3 ATM, ,"Ice blue dial, sunburst finish ","Drop-shaped, 18k white gold 210Pd "," Light brown Barbialla calf, Alcantara lining "," Light brown Barbialla calf, Alcantara lining ",Pin buckle or folding clasp in stainless steel ,. Calibre FBN229.01. Automatic winding movement with pawl-fitted micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Silicon escapement with a double direct impulse on the balance. Silent block shock protection system for the micro-rotor,Calibre FBN229.01, 72 hours ,"21,600 vph (3Hz)",35,"Hours, minutes, and small seconds at 6 o'clock ","The Square Micro-Rotor features a vivid ice blue dial with a sunburst satin brush-finishing, white gold indexes, and a seconds sub-dial at 6 o'clock. This intense colour enhances the timepiece while giving it a more contemporary look. The movement is still the self-winding FBN 229.01 calibre with a natural escapement and a three-day power reserve.
", 
LCF013.AC.CG2,https://laurentferrier.ch/collections/square/products/square-micro-rotor-blue, ,Laurent Ferrier, ,Square,Square Micro‑Rotor,Blue, , ,CHF,"55,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Square-Micro-Rotor-Blue_Watch_LCF013.AC.CG2_Front-Soldat-Big_800x.png?v=1642756447,Switzerland, , Stainless steel , , , 41 mm, , , 11.10 mm, , , , 30 m - 3 ATM, ,"Blue-toned dial, vertical satin-brushed finish","Drop-shaped, 18k white gold210Pd"," Blue alligator, Alcantara lining"," Blue alligator, Alcantara lining",Pin buckle or folding clasp in stainless steel,. Calibre FBN229.01. Automatic winding movement with pawl-fitted micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Silicon escapement with double direct impulse on the balance. Silent block shock protection system for the micro-rotor,Calibre FBN229.01, 72 hours,"21,600 vph (3Hz)",35,"Hours, minutes, and small seconds at 6 o'clock","This Square Micro-Rotor has a blue dial featuring a vertical satin-brushed finish that is a favourite with LAURENT FERRIER and creates a velvety sheen that is particularly pleasing to the eye. This variation features 11 white gold drop‑shaped hour-markers. The flowing lines designed by LAURENT FERRIER have been maintained and are housed within a cushion-shaped case that reprises every subtle detail of the previous models.
", 
LCF044.T1.RN1,https://laurentferrier.ch/collections/grand-sport/products/grand-sport-tourbillon-pursuit, ,Laurent Ferrier, ,Grand,Grand Sport Tourbillon,Pursuit, , ,CHF,"175,000",https://laurentferrier.ch/cdn/shop/files/Laurent-Ferrier_Grand-Sport-Tourbillon_Pursuit_Watch_LCF044.T1.RN1_Front-Soldat_Tinifiedcopy_800x.png?v=1699637289,Switzerland, , Grade 5 titanium, , , 44 mm, , , 13.40 mm, , , , 100 m - 10 ATM, ,Gradient salmon-pink opaline ,"Drop-shaped, 18k white gold 210Pd ruthenium treated, white Super-LumiNova"," Grade 5 titanium integrated bracelet, 3 links"," Grade 5 titanium integrated bracelet, 3 links",Folding clasp in grade 5 titanium,". Manual winding calibre LF619.01. Tourbillon with double balance spring. ""Swiss"" lever escapement. Horizontal satin-brushed bridges with a ruthenium treatment ",Manual winding calibre LF619.01, 80 hours,"21,600 vph (3Hz)",23,"Hours, minutes, small seconds at 6 o'clock","For Laurent Ferrier and François Servanin, driving at dawn on the 24-hour track was an experience like no other. Inspired by the thrills of motor racing and the pursuit of excellence, this watch features a stunning salmon-pink dial that captures the breathtaking beauty of the sky at sunrise. The architecture of the Grand Sport case in titanium evokes the elegant, timeless curves of racing cars. The double-balance-spring tourbillon carriage of the LF619.01 calibre, visible through the sapphire crystal case back, is worthy of the most efficient motor engines. 
", 
LCF044.R5.B1RC1,https://laurentferrier.ch/collections/grand-sport/products/grand-sport-tourbillon-golden-brown, ,Laurent Ferrier, ,Grand,Grand Sport Tourbillon,Golden Brown, , ,CHF,"225,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Grand-Sport-Tourbillon_Golden-Brown_Watch_LCF044.R5.B1RC1_Front-Soldat_Tinified_800x.png?v=1665575201,Switzerland, , 18k red gold 5N, , , 44 mm, , , 13.40 mm, , , , 100 m - 10 ATM, ,Gradient brown opaline ,"Drop-shaped, 18k red gold 5N, white Super-LumiNova"," 18k red gold 5N integrated bracelet, 3 links"," 18k red gold 5N integrated bracelet, 3 links",Folding clasp in 18k red gold 5N," . Manual winding caliber LF619.01 . Tourbillon with double balance spring . ""Swiss"" lever escapement. Horizontal satin brushed bridges with a ruthenium treatment ",Manual winding caliber LF619.01 , 80 hours,"21,600 vph (3Hz)",23,"Hours, minutes, small seconds at 6 o'clock","This model, initially released in 2019, was inspired by the two founders’ shared love of motor racing. Its case is designed like a beautifully sleek car body, combining clean lines and generous curves with a high-performance engine: the LF619.01 tourbillon calibre with double balance spring.
", 
